Datetime,ann1,ann2,ann3,ann4,ann5,ann6,ann7,ann8,ann9,ann10,spads,shorefor
2014-10-04,57.241673,56.91889,56.597683,57.782753,56.810875,57.74064,56.32428,58.34165,57.705906,57.811848,66.447,59.761
2014-10-05,60.672985,61.641727,59.756775,62.11124,58.89181,62.081467,60.346066,61.054565,61.37735,61.106174,67.738,59.916
2014-10-06,62.973553,63.064774,61.041264,62.708332,61.218807,63.830692,62.606842,63.03097,62.921017,63.43152,68.784,60.075
2014-10-07,62.23906,63.753075,60.874043,65.31201,62.94172,65.1689,62.710804,63.46203,63.74789,64.67314,69.445,60.237
2014-10-08,63.44303,62.96785,62.128246,64.175095,63.966858,64.492355,60.96579,63.878345,65.4212,65.57985,69.672,60.366
2014-10-09,63.64194,64.65373,62.971767,65.18891,64.49777,64.94485,61.530014,63.67344,65.03265,65.18362,69.527,60.424
2014-10-10,64.26547,63.787704,63.36358,64.30711,65.62841,63.8671,61.68252,64.52605,66.589226,66.12488,69.13,60.487
2014-10-11,63.888435,63.592888,63.60471,64.27721,65.69036,63.461708,60.76534,63.542206,65.58832,65.91058,68.593,60.521
2014-10-12,63.912006,61.847687,62.925537,62.68138,64.73036,61.1538,59.033978,62.840218,64.89247,65.353584,67.99,60.497
2014-10-13,62.9844,62.0806,62.151497,63.15178,64.09883,61.814243,59.40707,62.490196,63.59889,63.827393,67.405,60.537
2014-10-14,63.130875,60.678192,62.04532,62.113247,63.4967,60.85548,59.190857,62.36658,63.71499,63.879192,66.89,60.555
2014-10-15,61.66218,60.70578,61.635284,61.970512,62.141212,61.104645,59.548283,61.86029,62.799824,62.708874,66.452,60.546
2014-10-16,61.29123,59.977367,60.37087,61.675053,62.257534,60.731716,59.48599,62.052086,62.12871,62.41605,66.113,60.57
2014-10-17,60.46308,60.745636,59.942745,62.194275,62.099518,61.665863,59.70382,61.360786,61.09567,61.218525,65.81,60.593
2014-10-18,60.721203,59.584373,59.705963,61.353737,62.132492,60.59017,59.469887,61.593555,61.478134,61.764862,65.421,60.549
2014-10-19,60.33291,60.042404,59.379314,60.947407,61.032703,60.45095,59.502064,60.844276,61.16132,60.982418,65.003,60.379
2014-10-20,59.349194,59.08856,58.195328,59.47115,60.49533,58.4276,58.46691,60.650803,60.253834,60.745663,64.709,60.22
2014-10-21,58.68039,58.993874,57.777782,59.1682,59.28154,58.69793,57.58386,59.82348,58.692253,59.925552,64.687,60.169
2014-10-22,58.08254,57.784492,57.513252,59.017593,59.57673,57.329826,56.89209,60.299046,59.03626,60.739006,65.0,60.168
2014-10-23,58.514668,58.283253,57.70882,59.38908,59.352787,58.601547,57.691174,59.51512,59.1812,60.522377,65.64,60.23
2014-10-24,58.40669,57.63746,58.14758,59.427727,60.41881,58.28985,57.79778,59.930317,60.425724,61.03007,66.525,60.334
2014-10-25,59.677616,59.284576,59.225677,60.680443,60.369457,60.13093,59.689102,60.49441,60.69027,60.705067,67.516,60.496
2014-10-26,60.378258,59.99226,59.825348,62.071114,62.637245,60.452717,59.489403,61.833004,61.755173,62.161156,68.449,60.683
2014-10-27,62.677807,62.13136,61.1858,63.613598,62.908615,62.492844,60.775837,63.05593,63.081795,62.80083,69.202,60.849
2014-10-28,63.715538,62.691906,62.88118,64.71601,63.97077,62.951992,60.5926,64.48674,65.22133,64.8627,69.722,60.995
2014-10-29,64.865845,63.819958,63.225147,65.34513,63.35356,63.697395,61.29791,64.57297,64.54727,65.02924,70.047,61.034
2014-10-30,63.41878,63.289444,63.062595,65.30356,64.85188,62.97127,61.323704,64.4528,64.43135,65.38241,70.218,61.001
2014-10-31,64.65356,64.49797,63.833935,65.65627,65.54207,64.66156,63.398758,65.07586,65.42266,66.10882,70.238,61.047
2014-11-01,64.59443,64.74479,64.77136,66.34994,67.4128,64.28709,64.50521,66.4545,66.35581,67.087524,70.095,61.161
2014-11-02,65.550964,65.27511,64.91599,67.46875,67.26062,65.712204,65.4692,66.301704,66.61798,66.9981,69.792,61.275
2014-11-03,64.758606,64.1531,64.277824,66.41731,67.297714,64.02401,64.75775,65.55232,66.13012,66.40784,69.418,61.27
2014-11-04,64.865776,63.115314,63.990643,64.13792,64.28478,63.88894,63.814636,63.463432,65.259186,64.76079,69.107,61.222
2014-11-05,63.15896,62.585285,62.960026,62.669926,64.36195,61.654865,63.362885,63.179188,64.57293,64.3683,68.945,61.239
2014-11-06,63.09154,62.21458,62.300304,62.205917,64.46943,61.76391,64.15453,62.420235,64.09935,63.882908,68.933,61.276
2014-11-07,62.627666,61.600548,62.313343,62.20266,65.70875,61.008587,65.12099,63.061604,64.58685,64.08707,68.994,61.358
2014-11-08,63.387608,62.780094,63.251675,63.269356,65.232666,63.238255,65.60651,64.18271,64.85625,64.80403,69.015,61.47
2014-11-09,63.89427,63.483627,64.127144,64.74179,65.456535,63.65107,65.76407,65.9722,65.93742,66.270645,68.941,61.621
2014-11-10,65.70751,65.28199,66.00183,66.67608,65.93394,66.08992,66.40439,67.34961,67.22943,67.43815,68.815,61.799
2014-11-11,65.59074,64.75434,66.25464,67.0598,66.11384,65.51345,66.13619,67.649574,67.680916,67.516136,68.737,61.954
2014-11-12,65.318504,63.847485,65.67297,66.57223,65.23356,65.5648,65.94671,66.8038,67.005844,66.65937,68.789,61.986
2014-11-13,64.77186,62.822388,64.66261,65.900246,65.10663,64.20439,65.07074,66.05131,66.54626,65.4071,69.043,61.989
2014-11-14,65.691986,64.12001,65.38387,65.92987,64.83409,65.865456,65.543175,65.45082,67.18687,65.93743,69.452,62.102
2014-11-15,66.35969,64.32157,66.258835,66.335045,65.719055,66.24244,65.860886,66.010086,67.58627,66.19536,69.908,62.251
2014-11-16,67.95145,66.150505,67.57508,67.142296,65.603615,68.25932,67.19147,67.160225,68.597435,67.696976,70.274,62.391
2014-11-17,68.436005,66.82576,68.200066,67.872665,66.384926,68.38658,68.18904,67.814735,69.137596,68.36182,70.501,62.555
2014-11-18,68.55408,67.96563,68.58767,68.92562,66.6858,69.15918,68.620346,68.62159,69.81974,68.580765,70.671,62.649
