Y,M,D,h,m,s,Hs,Tp,Dir
1979,1,25,0,0,0,0.727,10.533,53.245
1979,1,25,3,0,0,0.76,10.563,53.829
1979,1,25,6,0,0,0.769,10.553,54.388
1979,1,25,9,0,0,0.775,10.53,54.863
1979,1,25,12,0,0,0.773,10.511,55.162
1979,1,25,15,0,0,0.76,10.533,55.314
1979,1,25,18,0,0,0.753,10.573,55.449
1979,1,25,21,0,0,0.765,10.615,55.628
1979,1,26,0,0,0,0.765,10.645,55.901
1979,1,26,3,0,0,0.771,10.653,56.265
1979,1,26,6,0,0,0.774,10.625,56.622
1979,1,26,9,0,0,0.774,10.573,56.931
1979,1,26,12,0,0,0.784,10.483,57.148
1979,1,26,15,0,0,0.799,10.38,57.246
1979,1,26,18,0,0,0.822,10.288,57.261
1979,1,26,21,0,0,0.87,10.218,57.213
1979,1,27,0,0,0,0.874,10.168,57.146
1979,1,27,3,0,0,0.881,10.103,57.877
1979,1,27,6,0,0,0.873,10.409,57.713
1979,1,27,9,0,0,0.881,12.327,56.833
1979,1,27,12,0,0,0.909,12.225,56.519
1979,1,27,15,0,0,0.949,10.06,55.956
1979,1,27,18,0,0,1.021,9.716,55.155
1979,1,27,21,0,0,1.113,9.749,54.755
1979,1,28,0,0,0,1.181,9.857,54.694
1979,1,28,3,0,0,1.216,10.055,54.957
1979,1,28,6,0,0,1.286,10.328,55.252
1979,1,28,9,0,0,1.406,10.662,55.313
1979,1,28,12,0,0,1.535,10.965,55.256
1979,1,28,15,0,0,1.639,11.053,55.112
1979,1,28,18,0,0,1.685,10.94,55.141
1979,1,28,21,0,0,1.667,10.765,55.381
1979,1,29,0,0,0,1.591,10.62,55.826
1979,1,29,3,0,0,1.479,10.507,56.409
1979,1,29,6,0,0,1.359,10.413,57.038
1979,1,29,9,0,0,1.254,10.35,57.523
1979,1,29,12,0,0,1.164,10.298,57.786
1979,1,29,15,0,0,1.081,10.22,57.83
1979,1,29,18,0,0,0.997,10.158,57.58
1979,1,29,21,0,0,0.917,10.148,57.112
1979,1,30,0,0,0,0.847,10.207,56.481
1979,1,30,3,0,0,0.796,10.247,55.854
1979,1,30,6,0,0,0.772,10.275,55.432
1979,1,30,9,0,0,0.757,10.245,55.255
1979,1,30,12,0,0,0.745,10.157,55.267
1979,1,30,15,0,0,0.743,10.118,56.177
1979,1,30,18,0,0,0.752,10.1,56.108
1979,1,30,21,0,0,0.8,10.053,55.998
1979,1,31,0,0,0,0.866,9.961,55.939
1979,1,31,3,0,0,0.886,9.911,55.881
