Datetime,SPADS
2016-01-29,64.751
2016-01-30,66.243
2016-01-31,67.623
2016-02-01,68.686
2016-02-02,69.321
2016-02-03,69.533
2016-02-04,69.475
2016-02-05,69.303
2016-02-06,69.099
2016-02-07,68.975
2016-02-08,69.001
2016-02-09,69.115
2016-02-10,69.193
2016-02-11,69.161
2016-02-12,68.91
2016-02-13,68.346
2016-02-14,67.479
2016-02-15,66.438
2016-02-16,65.41
2016-02-17,64.64
2016-02-18,64.373
2016-02-19,64.636
2016-02-20,65.23
2016-02-21,65.94
2016-02-22,66.571
2016-02-23,67.056
2016-02-24,67.394
2016-02-25,67.587
2016-02-26,67.692
2016-02-27,67.786
2016-02-28,67.877
2016-02-29,67.934
2016-03-01,67.968
2016-03-02,68.082
2016-03-03,68.34
2016-03-04,68.708
2016-03-05,69.071
2016-03-06,69.354
2016-03-07,69.549
2016-03-08,69.729
2016-03-09,69.956
2016-03-10,70.226
2016-03-11,70.502
2016-03-12,70.75
2016-03-13,70.92
2016-03-14,70.913
2016-03-15,70.651
2016-03-16,70.069
2016-03-17,69.1
2016-03-18,67.726
2016-03-19,65.975
2016-03-20,63.933
2016-03-21,61.82
2016-03-22,59.97
2016-03-23,58.713
2016-03-24,58.32
2016-03-25,58.895
2016-03-26,60.198
2016-03-27,61.865
2016-03-28,63.565
2016-03-29,65.033
2016-03-30,66.153
2016-03-31,66.979
2016-04-01,67.611
2016-04-02,68.116
2016-04-03,68.571
2016-04-04,69.032
2016-04-05,69.503
2016-04-06,69.924
2016-04-07,70.219
2016-04-08,70.351
2016-04-09,70.353
2016-04-10,70.286
2016-04-11,70.167
2016-04-12,70.017
2016-04-13,69.862
2016-04-14,69.657
2016-04-15,69.339
2016-04-16,68.887
2016-04-17,68.389
2016-04-18,67.986
2016-04-19,67.781
2016-04-20,67.798
2016-04-21,67.961
2016-04-22,68.19
2016-04-23,68.446
2016-04-24,68.755
2016-04-25,69.13
2016-04-26,69.529
2016-04-27,69.907
2016-04-28,70.21
2016-04-29,70.377
2016-04-30,70.4
2016-05-01,70.291
2016-05-02,70.08
2016-05-03,69.8
2016-05-04,69.416
2016-05-05,68.946
2016-05-06,68.428
2016-05-07,67.894
2016-05-08,67.465
2016-05-09,67.258
2016-05-10,67.319
2016-05-11,67.686
2016-05-12,68.284
2016-05-13,68.896
2016-05-14,69.358
2016-05-15,69.602
2016-05-16,69.586
2016-05-17,69.296
2016-05-18,68.803
2016-05-19,68.226
2016-05-20,67.661
2016-05-21,67.159
2016-05-22,66.768
2016-05-23,66.503
2016-05-24,66.331
2016-05-25,66.217
2016-05-26,66.191
2016-05-27,66.303
2016-05-28,66.545
2016-05-29,66.903
2016-05-30,67.307
2016-05-31,67.66
2016-06-01,67.899
2016-06-02,67.989
2016-06-03,67.895
2016-06-04,67.48
2016-06-05,66.667
2016-06-06,65.455
2016-06-07,63.91
2016-06-08,62.185
2016-06-09,60.54
2016-06-10,59.328
2016-06-11,58.858
2016-06-12,59.171
2016-06-13,60.014
2016-06-14,61.1
2016-06-15,62.199
2016-06-16,63.092
2016-06-17,63.638
2016-06-18,63.86
2016-06-19,63.827
2016-06-20,63.601
2016-06-21,63.329
2016-06-22,63.143
2016-06-23,63.073
2016-06-24,63.162
2016-06-25,63.412
2016-06-26,63.762
2016-06-27,64.086
2016-06-28,64.309
2016-06-29,64.465
2016-06-30,64.581
2016-07-01,64.646
2016-07-02,64.638
2016-07-03,64.54
2016-07-04,64.204
2016-07-05,63.431
2016-07-06,62.103
2016-07-07,60.293
2016-07-08,58.253
2016-07-09,56.304
2016-07-10,54.793
2016-07-11,54.015
2016-07-12,54.062
2016-07-13,54.793
2016-07-14,55.98
2016-07-15,57.436
2016-07-16,58.997
2016-07-17,60.479
2016-07-18,61.765
2016-07-19,62.756
2016-07-20,63.382
2016-07-21,63.634
2016-07-22,63.63
2016-07-23,63.585
2016-07-24,63.647
2016-07-25,63.854
2016-07-26,64.17
2016-07-27,64.514
2016-07-28,64.778
2016-07-29,64.939
2016-07-30,65.04
2016-07-31,65.094
2016-08-01,65.057
2016-08-02,64.936
2016-08-03,64.766
2016-08-04,64.519
2016-08-05,64.134
2016-08-06,63.607
2016-08-07,62.98
2016-08-08,62.269
2016-08-09,61.444
2016-08-10,60.615
2016-08-11,59.937
2016-08-12,59.569
2016-08-13,59.573
2016-08-14,59.861
2016-08-15,60.234
2016-08-16,60.511
2016-08-17,60.523
2016-08-18,60.173
2016-08-19,59.489
2016-08-20,58.61
2016-08-21,57.783
2016-08-22,57.306
2016-08-23,57.39
2016-08-24,58.069
2016-08-25,59.223
2016-08-26,60.601
2016-08-27,61.96
2016-08-28,63.088
2016-08-29,63.885
2016-08-30,64.373
2016-08-31,64.644
2016-09-01,64.819
2016-09-02,64.951
2016-09-03,65.033
2016-09-04,65.128
2016-09-05,65.329
2016-09-06,65.605
2016-09-07,65.838
2016-09-08,65.936
2016-09-09,65.919
2016-09-10,65.844
2016-09-11,65.738
2016-09-12,65.623
2016-09-13,65.453
2016-09-14,65.19
2016-09-15,64.802
2016-09-16,64.282
2016-09-17,63.691
2016-09-18,63.127
2016-09-19,62.672
2016-09-20,62.33
2016-09-21,62.036
2016-09-22,61.691
2016-09-23,61.256
2016-09-24,60.78
2016-09-25,60.389
2016-09-26,60.216
2016-09-27,60.341
2016-09-28,60.75
2016-09-29,61.32
2016-09-30,61.938
2016-10-01,62.559
2016-10-02,63.211
2016-10-03,63.924
2016-10-04,64.728
2016-10-05,65.64
2016-10-06,66.602
2016-10-07,67.44
2016-10-08,67.961
2016-10-09,68.084
2016-10-10,67.823
2016-10-11,67.258
2016-10-12,66.622
2016-10-13,66.206
2016-10-14,66.213
2016-10-15,66.634
2016-10-16,67.31
2016-10-17,68.045
2016-10-18,68.662
2016-10-19,69.037
2016-10-20,69.099
2016-10-21,68.808
2016-10-22,68.186
2016-10-23,67.28
2016-10-24,66.191
2016-10-25,65.119
2016-10-26,64.288
2016-10-27,63.864
2016-10-28,63.832
2016-10-29,64.056
2016-10-30,64.384
2016-10-31,64.785
2016-11-01,65.244
2016-11-02,65.692
2016-11-03,66.058
2016-11-04,66.316
2016-11-05,66.434
2016-11-06,66.43
2016-11-07,66.35
2016-11-08,66.263
2016-11-09,66.184
2016-11-10,66.074
2016-11-11,65.858
2016-11-12,65.531
2016-11-13,65.21
2016-11-14,65.074
2016-11-15,65.228
2016-11-16,65.698
2016-11-17,66.427
2016-11-18,67.248
2016-11-19,67.99
2016-11-20,68.508
2016-11-21,68.715
2016-11-22,68.634
2016-11-23,68.392
2016-11-24,68.107
2016-11-25,67.858
2016-11-26,67.718
2016-11-27,67.703
2016-11-28,67.726
2016-11-29,67.664
2016-11-30,67.468
2016-12-01,67.167
2016-12-02,66.818
2016-12-03,66.464
2016-12-04,66.115
2016-12-05,65.764
2016-12-06,65.373
2016-12-07,64.903
2016-12-08,64.399
2016-12-09,63.996
2016-12-10,63.874
2016-12-11,64.132
2016-12-12,64.699
2016-12-13,65.464
2016-12-14,66.274
2016-12-15,66.957
2016-12-16,67.407
2016-12-17,67.615
2016-12-18,67.593
2016-12-19,67.329
2016-12-20,66.832
2016-12-21,66.161
2016-12-22,65.479
2016-12-23,64.973
2016-12-24,64.826
2016-12-25,65.086
2016-12-26,65.604
2016-12-27,66.218
2016-12-28,66.771
2016-12-29,67.105
2016-12-30,67.142
